image_path,k_code,product_name,class_id,split
C:\project_sep\data\single_folder\K-041553_0_1_0_2_90_300_200.png,K-041553,레리카캡슐 75mg,174,train
C:\project_sep\data\single_folder\K-044068_0_0_0_1_90_320_200.png,K-044068,휴텍스아스피린장용정 100mg,381,train
C:\project_sep\data\single_folder\K-039727_0_2_0_1_90_340_200.png,K-039727,마이페노캡슐,37,train
C:\project_sep\data\single_folder\K-041528_0_0_0_2_90_300_200.png,K-041528,유파티렌정,169,train
C:\project_sep\data\single_folder\K-041788_0_1_1_1_90_220_200.png,K-041788,파나신캡슐 0.67g/PTP,197,train
C:\project_sep\data\single_folder\K-044639_0_0_0_2_90_140_200.png,K-044639,비너스정 20mg,442,train
C:\project_sep\data\single_folder\K-044492_0_1_0_0_75_280_200.png,K-044492,바디본정,423,train
C:\project_sep\data\single_folder\K-044903_0_2_0_0_90_000_200.png,K-044903,비코엑스장용정 20mg/병,462,train
C:\project_sep\data\single_folder\K-044334_0_0_0_1_90_180_200.png,K-044334,대웅바이오아스피린장용정 100mg,407,train
C:\project_sep\data\single_folder\K-042662_0_2_0_1_90_260_200.png,K-042662,네비스톨정1.25밀리그램(네비보롤염산염),284,train
C:\project_sep\data\single_folder\K-044906_0_0_0_0_70_020_200.png,K-044906,프레갈캡슐 25mg,464,train
C:\project_sep\data\single_folder\K-041809_0_1_0_1_90_200_200.png,K-041809,디카본100정,203,train
C:\project_sep\data\single_folder\K-041804_0_0_0_2_75_040_200.png,K-041804,쿠에타핀정12.5밀리그램(쿠에티아핀푸마르산염),202,train
C:\project_sep\data\single_folder\K-042727_0_0_0_1_75_240_200.png,K-042727,프로록소정,288,train
C:\project_sep\data\single_folder\K-043799_0_2_1_2_70_040_200.png,K-043799,리액타민연질캡슐 50mg/PTP,365,train
C:\project_sep\data\single_folder\K-043149_0_0_1_0_90_060_200.png,K-043149,오구맥정375밀리그램,314,train
C:\project_sep\data\single_folder\K-043149_0_0_0_2_75_100_200.png,K-043149,오구맥정375밀리그램,314,train
C:\project_sep\data\single_folder\K-040088_0_0_1_0_90_260_200.png,K-040088,이연프로피베린정 10mg,60,train
C:\project_sep\data\single_folder\K-040599_0_2_0_1_75_080_200.png,K-040599,큐엔디1000연질캡슐 10mg/PTP,93,train
C:\project_sep\data\single_folder\K-041329_0_0_1_2_75_100_200.png,K-041329,치센캡슐 300mg/PTP,150,train
C:\project_sep\data\single_folder\K-042098_0_2_1_2_75_100_200.png,K-042098,아목시스캡슐 500mg,231,train
C:\project_sep\data\single_folder\K-042040_0_2_0_0_75_140_200.png,K-042040,아모잘탄큐정 5/100/10mg,225,train
C:\project_sep\data\single_folder\K-042404_0_0_0_2_75_120_200.png,K-042404,메가비액티브정 100mg/병,266,train
C:\project_sep\data\single_folder\K-043511_0_1_0_2_75_140_200.png,K-043511,보령니트로푸란토인캡슐 50mg/병,345,train
C:\project_sep\data\single_folder\K-043020_0_0_1_1_75_020_200.png,K-043020,헤파톡시온정 100mg/병,301,train
C:\project_sep\data\single_folder\K-040790_0_0_1_1_70_300_200.png,K-040790,콜키닌정(콜키신),104,train
C:\project_sep\data\single_folder\K-039633_0_2_1_1_90_280_200.png,K-039633,알러엔연질캡슐 10mg/PTP,34,train
C:\project_sep\data\single_folder\K-045245_0_2_1_2_90_020_200.png,K-045245,리카뉴로서방정 300mg,493,train
C:\project_sep\data\single_folder\K-044312_0_0_0_1_70_080_200.png,K-044312,제이그렐정(클로피도그렐황산염),404,train
C:\project_sep\data\single_folder\K-042067_0_0_1_2_90_180_200.png,K-042067,뮤코미피드정,228,train
C:\project_sep\data\single_folder\K-041619_0_1_0_1_70_180_200.png,K-041619,루파핀정(루파타딘푸마르산염),180,train
C:\project_sep\data\single_folder\K-040828_0_2_0_2_75_300_200.png,K-040828,로수타틴정 5mg,108,train
C:\project_sep\data\single_folder\K-039889_0_1_1_2_90_280_200.png,K-039889,가스티인씨알정(모사프리드시트르산염수화물),48,train
C:\project_sep\data\single_folder\K-044992_0_1_0_1_90_260_200.png,K-044992,메피솔론정(메틸프레드니솔론),470,train
C:\project_sep\data\single_folder\K-044215_0_0_0_2_75_120_200.png,K-044215,둘코라인정 500mg/병,396,train
C:\project_sep\data\single_folder\K-043755_0_0_0_2_75_020_200.png,K-043755,로피타정 2mg,358,train
C:\project_sep\data\single_folder\K-041751_0_2_1_0_70_000_200.png,K-041751,이달비정 80mg,191,train
C:\project_sep\data\single_folder\K-043083_0_0_0_2_75_260_200.png,K-043083,노텐션정 2.5mg,307,train
C:\project_sep\data\single_folder\K-044546_0_0_0_0_75_120_200.png,K-044546,알자나정 200mg/병,428,train
C:\project_sep\data\single_folder\K-041185_0_2_0_2_75_100_200.png,K-041185,위엔탑정 40mg/PTP,130,train
C:\project_sep\data\single_folder\K-042035_0_2_0_1_90_340_200.png,K-042035,벤포벨브이정 100mg/병,224,train
C:\project_sep\data\single_folder\K-039868_0_0_1_2_75_300_200.png,K-039868,아스라스정,45,train
C:\project_sep\data\single_folder\K-043887_0_0_0_1_75_020_200.png,K-043887,피타론정,371,train
C:\project_sep\data\single_folder\K-039885_0_2_0_1_90_300_200.png,K-039885,하노마린350연질캡슐,47,train
C:\project_sep\data\single_folder\K-043911_0_0_1_2_75_320_200.png,K-043911,살사라인정 133.3mg/병,374,train
C:\project_sep\data\single_folder\K-044992_0_2_0_2_75_060_200.png,K-044992,메피솔론정(메틸프레드니솔론),470,train
C:\project_sep\data\single_folder\K-044602_0_2_1_2_70_140_200.png,K-044602,글리틴리드캡슐(콜린알포세레이트),436,train
C:\project_sep\data\single_folder\K-045269_0_0_1_1_75_060_200.png,K-045269,독립목클린캡슐 200mg,496,train
C:\project_sep\data\single_folder\K-042273_0_2_0_2_75_040_200.png,K-042273,킥콜드에프연질캡슐 200mg/PTP,251,train
C:\project_sep\data\single_folder\K-041646_0_2_0_1_90_240_200.png,K-041646,이브터치연질캡슐 400mg/PTP,182,train
C:\project_sep\data\single_folder\K-043887_0_0_1_1_90_340_200.png,K-043887,피타론정,371,train
C:\project_sep\data\single_folder\K-043398_0_0_1_0_90_080_200.png,K-043398,나스타정 50mg,334,train
C:\project_sep\data\single_folder\K-043383_0_0_1_2_70_000_200.png,K-043383,리리카캡슐 25mg,332,train
C:\project_sep\data\single_folder\K-042004_0_0_1_1_75_040_200.png,K-042004,아세틴캡슐,220,train
C:\project_sep\data\single_folder\K-045101_0_2_0_0_70_340_200.png,K-045101,훼럼포유연질캡슐 357mg/PTP,482,train
C:\project_sep\data\single_folder\K-044703_0_0_1_1_75_240_200.png,K-044703,아고틴정 25mg,448,train
C:\project_sep\data\single_folder\K-044448_0_2_0_2_70_340_200.png,K-044448,이브원큐연질캡슐 200mg/PTP,418,train
C:\project_sep\data\single_folder\K-045101_0_2_1_1_90_200_200.png,K-045101,훼럼포유연질캡슐 357mg/PTP,482,train
C:\project_sep\data\single_folder\K-043762_0_0_0_1_75_160_200.png,K-043762,이니알론정 200mg/병,360,train
C:\project_sep\data\single_folder\K-041329_0_0_1_1_70_040_200.png,K-041329,치센캡슐 300mg/PTP,150,train
C:\project_sep\data\single_folder\K-039148_0_0_1_0_70_100_200.png,K-039148,듀카브정60/5밀리그램,0,train
C:\project_sep\data\single_folder\K-042484_0_0_0_2_90_120_200.png,K-042484,도베셀정 500mg,272,train
C:\project_sep\data\single_folder\K-044127_0_0_1_2_75_280_200.png,K-044127,뉴슈바틴정 5mg,388,train
C:\project_sep\data\single_folder\K-044927_0_2_1_1_90_260_200.png,K-044927,에이목스캡슐 500mg,466,train
C:\project_sep\data\single_folder\K-039148_0_1_1_2_75_140_200.png,K-039148,듀카브정60/5밀리그램,0,train
C:\project_sep\data\single_folder\K-044266_0_0_1_2_75_080_200.png,K-044266,바이오탑하이캡슐 150mg/병,401,train
C:\project_sep\data\single_folder\K-044703_0_1_0_0_70_160_200.png,K-044703,아고틴정 25mg,448,train
C:\project_sep\data\single_folder\K-041085_0_0_1_0_75_200_200.png,K-041085,뉴바민정,123,train
C:\project_sep\data\single_folder\K-041490_0_2_1_1_75_120_200.png,K-041490,리피크린정 10mg,162,train
C:\project_sep\data\single_folder\K-039208_0_0_0_0_90_020_200.png,K-039208,트란시노2정 187.5mg/PTP,7,train
C:\project_sep\data\single_folder\K-042484_0_0_0_2_90_140_200.png,K-042484,도베셀정 500mg,272,train
C:\project_sep\data\single_folder\K-044528_0_1_1_1_90_200_200.png,K-044528,로수암핀정 10/5mg,425,train
C:\project_sep\data\single_folder\K-040132_0_2_1_2_75_020_200.png,K-040132,토비콤골드정 206.2mg/병,67,train
C:\project_sep\data\single_folder\K-041528_0_0_0_1_75_120_200.png,K-041528,유파티렌정,169,train
C:\project_sep\data\single_folder\K-043432_0_2_0_0_75_140_200.png,K-043432,셀로파정 5mg,335,train
C:\project_sep\data\single_folder\K-039759_0_0_1_0_90_180_200.png,K-039759,암로텐션에스정,41,train
C:\project_sep\data\single_folder\K-043280_0_0_0_0_75_200_200.png,K-043280,락스타캡슐(락토바실루스카제이변종람노수스),322,train
C:\project_sep\data\single_folder\K-044754_0_2_0_1_75_180_200.png,K-044754,클자핀정 50mg,454,train
C:\project_sep\data\single_folder\K-044214_0_2_1_0_75_260_200.png,K-044214,앤틱스캡슐(포도엽건조엑스),395,train
C:\project_sep\data\single_folder\K-040848_0_2_1_2_70_340_200.png,K-040848,액티넘이엑스골드정 36.39mg/병,110,train
C:\project_sep\data\single_folder\K-044528_0_2_1_0_90_160_200.png,K-044528,로수암핀정 10/5mg,425,train
C:\project_sep\data\single_folder\K-044214_0_2_1_1_75_260_200.png,K-044214,앤틱스캡슐(포도엽건조엑스),395,train
C:\project_sep\data\single_folder\K-041788_0_1_1_2_70_060_200.png,K-041788,파나신캡슐 0.67g/PTP,197,train
C:\project_sep\data\single_folder\K-044927_0_2_1_0_70_040_200.png,K-044927,에이목스캡슐 500mg,466,train
C:\project_sep\data\single_folder\K-041878_0_0_1_1_90_020_200.png,K-041878,레피드정,207,train
C:\project_sep\data\single_folder\K-039703_0_0_0_0_70_340_200.png,K-039703,헤파텍트캡슐,36,train
C:\project_sep\data\single_folder\K-042980_0_2_1_1_90_080_200.png,K-042980,리피크린정 20mg,299,train
C:\project_sep\data\single_folder\K-045229_0_1_0_2_60_280_200.png,K-045229,씬지로이드정 0.112mg,490,train
C:\project_sep\data\single_folder\K-040550_0_0_1_2_75_080_200.png,K-040550,베시캄정 5mg,90,train
C:\project_sep\data\single_folder\K-044203_0_2_1_0_70_240_200.png,K-044203,엑티본연질캡슐 1mg/PTP,394,train
C:\project_sep\data\single_folder\K-043444_0_2_0_0_90_140_200.png,K-043444,엘부틴정(트리메부틴말레산염),337,train
C:\project_sep\data\single_folder\K-040501_0_0_1_0_90_060_200.png,K-040501,텔미스탄정40/5밀리그램,86,train
C:\project_sep\data\single_folder\K-044122_0_0_0_2_75_280_200.png,K-044122,베포타온정,386,train
C:\project_sep\data\single_folder\K-042043_0_2_0_0_75_080_200.png,K-042043,아모잘탄큐정 5/100/5mg,227,train
C:\project_sep\data\single_folder\K-042623_0_0_1_0_75_240_200.png,K-042623,세레탈정 50mg,282,train
C:\project_sep\data\single_folder\K-044334_0_0_0_1_75_220_200.png,K-044334,대웅바이오아스피린장용정 100mg,407,train
C:\project_sep\data\single_folder\K-044126_0_2_0_0_90_160_200.png,K-044126,캐롤비콜드연질캡슐 180mg/PTP,387,train
C:\project_sep\data\single_folder\K-042736_0_0_1_2_90_140_200.png,K-042736,프리미엄미네코다정 470mg/병,290,train
C:\project_sep\data\single_folder\K-044469_0_2_0_2_70_080_200.png,K-044469,마더스아스피린장용정 100mg,420,train
C:\project_sep\data\single_folder\K-044361_0_1_0_1_70_060_200.png,K-044361,쎄스콘미니정 0.15mg/PTP,408,train
C:\project_sep\data\single_folder\K-041994_0_2_0_0_90_340_200.png,K-041994,솔루샷코프연질캡슐 200mg/PTP,219,train
C:\project_sep\data\single_folder\K-042790_0_0_0_1_75_160_200.png,K-042790,티모딕정 100mg,296,train
C:\project_sep\data\single_folder\K-040558_0_0_0_2_90_160_200.png,K-040558,스티젠정,91,train
C:\project_sep\data\single_folder\K-040828_0_2_1_0_75_120_200.png,K-040828,로수타틴정 5mg,108,train
C:\project_sep\data\single_folder\K-042278_0_0_0_1_60_080_200.png,K-042278,징코에프정 80mg,254,train
C:\project_sep\data\single_folder\K-041187_0_2_1_1_70_160_200.png,K-041187,치아탄캡슐 30mg/PTP,131,train
C:\project_sep\data\single_folder\K-041265_0_0_0_1_90_180_200.png,K-041265,베노스타신캡슐 50mg/PTP,138,train
C:\project_sep\data\single_folder\K-044498_0_1_1_0_60_020_200.png,K-044498,투게논정 5/16mg,424,train
C:\project_sep\data\single_folder\K-040790_0_0_1_0_90_300_200.png,K-040790,콜키닌정(콜키신),104,train
C:\project_sep\data\single_folder\K-044384_0_0_0_0_90_020_200.png,K-044384,이달비클로정 40/12.5mg,411,train
C:\project_sep\data\single_folder\K-044831_0_2_1_2_90_240_200.png,K-044831,넥콘600에프정 600mg/병,456,train
C:\project_sep\data\single_folder\K-044539_0_2_1_2_90_240_200.png,K-044539,아질렉트정 0.5mg,427,train
C:\project_sep\data\single_folder\K-041092_0_2_1_0_75_100_200.png,K-041092,모아헬드원정 10mg/병,124,train
C:\project_sep\data\single_folder\K-040100_0_1_0_2_75_240_200.png,K-040100,칸타벨정 16/5mg,62,train
C:\project_sep\data\single_folder\K-041752_0_1_1_1_70_280_200.png,K-041752,이달비정 40mg,192,train
C:\project_sep\data\single_folder\K-041373_0_2_1_2_70_240_200.png,K-041373,판텍큐노즈연질캡슐 180mg/PTP,156,train
C:\project_sep\data\single_folder\K-044546_0_0_0_0_90_180_200.png,K-044546,알자나정 200mg/병,428,train
C:\project_sep\data\single_folder\K-039337_0_2_1_2_75_000_200.png,K-039337,크레진정 5mg,17,train
C:\project_sep\data\single_folder\K-041693_0_0_1_2_70_260_200.png,K-041693,투게논정 5/8mg,184,train
C:\project_sep\data\single_folder\K-044704_0_0_0_1_75_340_200.png,K-044704,디펜티딘정 10mg,449,train
C:\project_sep\data\single_folder\K-041751_0_0_1_0_70_240_200.png,K-041751,이달비정 80mg,191,train
C:\project_sep\data\single_folder\K-044404_0_2_0_0_75_020_200.png,K-044404,헤파코엔정 103.1mg/병,414,train
C:\project_sep\data\single_folder\K-043799_0_2_1_0_75_040_200.png,K-043799,리액타민연질캡슐 50mg/PTP,365,train
C:\project_sep\data\single_folder\K-044334_0_0_0_1_90_020_200.png,K-044334,대웅바이오아스피린장용정 100mg,407,train
C:\project_sep\data\single_folder\K-041373_0_2_1_1_70_140_200.png,K-041373,판텍큐노즈연질캡슐 180mg/PTP,156,train
C:\project_sep\data\single_folder\K-043772_0_2_1_0_75_220_200.png,K-043772,에르도캡슐 300mg,362,train
C:\project_sep\data\single_folder\K-043544_0_2_1_0_75_040_200.png,K-043544,액티진정 100mg/병,349,train
C:\project_sep\data\single_folder\K-042854_0_0_0_1_90_040_200.png,K-042854,머슬펜정 300mg/PTP,298,train
C:\project_sep\data\single_folder\K-042154_0_0_1_0_60_100_200.png,K-042154,센스데이정 0.15mg/PTP,239,train
C:\project_sep\data\single_folder\K-043545_0_2_0_1_90_040_200.png,K-043545,뉴스피린장용정 100mg,350,train
C:\project_sep\data\single_folder\K-044906_0_0_0_2_75_340_200.png,K-044906,프레갈캡슐 25mg,464,train
C:\project_sep\data\single_folder\K-041991_0_0_1_2_75_120_200.png,K-041991,나토딜정 75mg,216,train
C:\project_sep\data\single_folder\K-044659_0_2_1_2_90_000_200.png,K-044659,마그포스액티브플러스연질캡슐 500mg/PTP,444,train
C:\project_sep\data\single_folder\K-041228_0_2_1_0_75_260_200.png,K-041228,에스메프졸정20밀리그램,135,train
C:\project_sep\data\single_folder\K-039320_0_0_1_1_90_100_200.png,K-039320,뉴암로디프정5밀리그램,15,train
C:\project_sep\data\single_folder\K-044334_0_1_1_1_90_240_200.png,K-044334,대웅바이오아스피린장용정 100mg,407,train
C:\project_sep\data\single_folder\K-044126_0_2_0_1_90_060_200.png,K-044126,캐롤비콜드연질캡슐 180mg/PTP,387,train
C:\project_sep\data\single_folder\K-044903_0_2_0_2_90_220_200.png,K-044903,비코엑스장용정 20mg/병,462,train
C:\project_sep\data\single_folder\K-041329_0_0_1_0_75_120_200.png,K-041329,치센캡슐 300mg/PTP,150,train
C:\project_sep\data\single_folder\K-043079_0_2_1_0_75_060_200.png,K-043079,빅파워비타연질캡슐 20mg/포,306,train
C:\project_sep\data\single_folder\K-041092_0_2_0_1_90_340_200.png,K-041092,모아헬드원정 10mg/병,124,train
C:\project_sep\data\single_folder\K-044754_0_2_1_0_90_100_200.png,K-044754,클자핀정 50mg,454,train
C:\project_sep\data\single_folder\K-043384_0_0_0_1_90_220_200.png,K-043384,리리카캡슐 50mg,333,train
C:\project_sep\data\single_folder\K-042831_0_0_1_2_90_160_200.png,K-042831,가스모틴에스알정(모사프리드시트르산염수화물),297,train
C:\project_sep\data\single_folder\K-042278_0_1_0_2_90_220_200.png,K-042278,징코에프정 80mg,254,train
C:\project_sep\data\single_folder\K-043511_0_1_1_0_90_300_200.png,K-043511,보령니트로푸란토인캡슐 50mg/병,345,train
C:\project_sep\data\single_folder\K-042286_0_0_0_0_90_320_200.png,K-042286,칼브록정 5mg,255,train
C:\project_sep\data\single_folder\K-042617_0_2_0_1_90_200_200.png,K-042617,휴맥톤정 40mg,281,train
C:\project_sep\data\single_folder\K-040558_0_0_0_2_90_320_200.png,K-040558,스티젠정,91,train
C:\project_sep\data\single_folder\K-041787_0_0_0_2_90_220_200.png,K-041787,록소리펜정,196,train
C:\project_sep\data\single_folder\K-043623_0_2_0_1_90_220_200.png,K-043623,일양바이오알벤다졸정 400mg/PTP,352,train
C:\project_sep\data\single_folder\K-044469_0_2_0_0_75_300_200.png,K-044469,마더스아스피린장용정 100mg,420,train
C:\project_sep\data\single_folder\K-043065_0_2_0_0_90_200_200.png,K-043065,푸로싹연질캡슐 250mg/PTP,303,train
C:\project_sep\data\single_folder\K-042421_0_1_1_0_90_000_200.png,K-042421,아셀리온캡슐 100mg,268,train
C:\project_sep\data\single_folder\K-040128_0_0_1_1_90_300_200.png,K-040128,알카포네정,66,train
C:\project_sep\data\single_folder\K-040733_0_0_0_2_90_120_200.png,K-040733,비알세티정,102,train
C:\project_sep\data\single_folder\K-041772_0_2_1_2_90_060_200.png,K-041772,킥센연질캡슐 250mg/PTP,195,train
C:\project_sep\data\single_folder\K-040119_0_0_0_2_90_140_200.png,K-040119,씬지록신정 150mcg,65,train
C:\project_sep\data\single_folder\K-040098_0_1_1_1_75_040_200.png,K-040098,칸타벨정 8/5mg,61,train
C:\project_sep\data\single_folder\K-040110_0_2_0_0_75_140_200.png,K-040110,베포원정 10mg,63,train
C:\project_sep\data\single_folder\K-044530_0_1_1_2_60_020_200.png,K-044530,로수암핀정 5/5mg,426,train
C:\project_sep\data\single_folder\K-042594_0_0_1_1_90_200_200.png,K-042594,크로스틴정 20mg,279,train
C:\project_sep\data\single_folder\K-040332_0_2_1_1_75_280_200.png,K-040332,투베로정60/10밀리그램,78,train
C:\project_sep\data\single_folder\K-039747_0_2_1_2_75_160_200.png,K-039747,칸데암로정 8/5mg,40,train
C:\project_sep\data\single_folder\K-043113_0_0_1_2_75_320_200.png,K-043113,치스민캡슐 300mg/PTP,311,train
C:\project_sep\data\single_folder\K-040501_0_0_1_2_90_240_200.png,K-040501,텔미스탄정40/5밀리그램,86,train
C:\project_sep\data\single_folder\K-042043_0_2_0_2_90_140_200.png,K-042043,아모잘탄큐정 5/100/5mg,227,train
C:\project_sep\data\single_folder\K-041247_0_2_1_2_75_120_200.png,K-041247,엘도프로정,136,train
C:\project_sep\data\single_folder\K-042617_0_2_0_1_75_200_200.png,K-042617,휴맥톤정 40mg,281,train
C:\project_sep\data\single_folder\K-044361_0_2_0_2_60_320_200.png,K-044361,쎄스콘미니정 0.15mg/PTP,408,train
C:\project_sep\data\single_folder\K-040277_0_2_1_1_90_100_200.png,K-040277,타겐에프정,74,train
C:\project_sep\data\single_folder\K-043083_0_0_1_2_75_320_200.png,K-043083,노텐션정 2.5mg,307,train
C:\project_sep\data\single_folder\K-041751_0_2_1_1_60_300_200.png,K-041751,이달비정 80mg,191,train
C:\project_sep\data\single_folder\K-040501_0_0_1_1_90_000_200.png,K-040501,텔미스탄정40/5밀리그램,86,train
C:\project_sep\data\single_folder\K-039293_0_2_1_1_90_300_200.png,K-039293,젠빅플러스연질캡슐 500mg/PTP,13,train
C:\project_sep\data\single_folder\K-043710_0_0_1_0_75_220_200.png,K-043710,브레인플러스정 100mg/PTP (수출용),357,train
C:\project_sep\data\single_folder\K-044967_0_1_0_1_70_300_200.png,K-044967,뉴카펜캡슐 75mg,468,train
C:\project_sep\data\single_folder\K-039746_0_2_1_0_90_040_200.png,K-039746,칸데암로정 16/5mg,39,train
