class_id,k_code,product_name
421,K-044489,바독시플러스정
422,K-044491,바콜디정
423,K-044492,바디본정
424,K-044498,투게논정 5/16mg
425,K-044528,로수암핀정 10/5mg
426,K-044530,로수암핀정 5/5mg
427,K-044539,아질렉트정 0.5mg
428,K-044546,알자나정 200mg/병
429,K-044548,크라셋세미정
430,K-044551,엘도클캡슐(에르도스테인)
431,K-044558,바제펜플러스정
432,K-044566,아나그레캡슐 1mg
433,K-044567,알포콜린리드캡슐
434,K-044579,일성레바미피드정
435,K-044592,젠콤정 400mg/PTP
436,K-044602,글리틴리드캡슐(콜린알포세레이트)
437,K-044619,콜린스타리드캡슐
438,K-044620,알포아티린리드캡슐
439,K-044624,푸레파베인캡슐 300mg/PTP
440,K-044631,휴비안트플러스디정
441,K-044638,휴비안트정20밀리그램
442,K-044639,비너스정 20mg
443,K-044655,렛잇비정 100mg/병
444,K-044659,마그포스액티브플러스연질캡슐 500mg/PTP
445,K-044681,바제칼디정
446,K-044682,팜페인파워연질캡슐(나프록센)
447,K-044699,유니안트디정
448,K-044703,아고틴정 25mg
449,K-044704,디펜티딘정 10mg
450,K-044727,애드본비정
451,K-044732,레드리버연질캡슐 350mg/병
452,K-044736,프리렙톨캡슐 25mg
453,K-044746,가네존연질캡슐 350mg/PTP
454,K-044754,클자핀정 50mg
455,K-044794,가네리버연질캡슐 175mg
456,K-044831,넥콘600에프정 600mg/병
457,K-044832,쎄클러캡슐 250mg
458,K-044857,에스트렌에스정
459,K-044867,마투탑플러스연질캡슐 500mg/PTP
460,K-044872,멀티큐텐플러스정 5mg/포
461,K-044898,베아렌투엑스정
462,K-044903,비코엑스장용정 20mg/병
463,K-044905,프레갈캡슐 50mg
464,K-044906,프레갈캡슐 25mg
465,K-044912,레오핀정
466,K-044927,에이목스캡슐 500mg
467,K-044948,세파콜에프캡슐 112mg/PTP
468,K-044967,뉴카펜캡슐 75mg
469,K-044976,비맥스엠지액티브연질캡슐 500mg/PTP
470,K-044992,메피솔론정(메틸프레드니솔론)
471,K-045000,아트밍캡슐 250mg/병
472,K-045011,콜로브론캡슐 200mg/PTP
473,K-045014,오스게이트정
474,K-045015,본디콜정
475,K-045027,알마스콘정
476,K-045030,뉴로카바피지캡슐 25mg
477,K-045031,뉴로카바피지캡슐 50mg
478,K-045037,리리베아캡슐 50mg
479,K-045038,리리베아캡슐 25mg
480,K-045087,알게텍정
481,K-045092,올멕포스에이치정 5/20/12.5mg
482,K-045101,훼럼포유연질캡슐 357mg/PTP
483,K-045129,비너스플러스정
484,K-045136,세비테라에이치씨티정 5/40/12.5mg
485,K-045137,세비테라에이치씨티정 10/40/12.5mg
486,K-045138,세비테라에이치씨티정 5/20/12.5mg
487,K-045162,페바로정 2mg
488,K-045205,라바졸정 10mg
489,K-045227,오멕실정 10mg
490,K-045229,씬지로이드정 0.112mg
491,K-045233,뉴코딜정 3mg/병
492,K-045234,애드민플러스정
493,K-045245,리카뉴로서방정 300mg
494,K-045246,리카뉴로서방정 150mg
495,K-045255,로멜트립정 40mg/PTP
496,K-045269,독립목클린캡슐 200mg
497,K-045273,제스쿨정 175mg/PTP
498,K-045290,디맥트리플정 165.8mg/PTP
499,K-045311,세파독심정
